;TLS
01/01/1995;-1
01/04/1995;-1
01/07/1995;-1
01/10/1995;-1
01/01/1996;-1
01/04/1996;-1
01/07/1996;-1
01/10/1996;-1
01/01/1997;-1
01/04/1997;-1
01/07/1997;-1
01/10/1997;-1
01/01/1998;-1
01/04/1998;-1
01/07/1998;-1
01/10/1998;-1
01/01/1999;-1
01/04/1999;-1
01/07/1999;-1
01/10/1999;-1
01/01/2000;-1
01/04/2000;-1
01/07/2000;-1
01/10/2000;-1
01/01/2001;-1
01/04/2001;-1
01/07/2001;-1
01/10/2001;-1
01/01/2002;-1
01/04/2002;-1
01/07/2002;-1
01/10/2002;-1
01/01/2003;-1
01/04/2003;-1
01/07/2003;-1
01/10/2003;-1
01/01/2004;-1
01/04/2004;-1
01/07/2004;-1
01/10/2004;-1
01/01/2005;-1
01/04/2005;-1
01/07/2005;-1
01/10/2005;-1
01/01/2006;-1
01/04/2006;-1
01/07/2006;-1
01/10/2006;-1
01/01/2007;-1
01/04/2007;-1
01/07/2007;-1
01/10/2007;-1
01/01/2008;-1
01/04/2008;-1
01/07/2008;-1
01/10/2008;-1
01/01/2009;-1
01/04/2009;-1
01/07/2009;-1
01/10/2009;-1
01/01/2010;-1
01/04/2010;-1
01/07/2010;-1
01/10/2010;-1
01/01/2011;-1
01/04/2011;-1
01/07/2011;-1
01/10/2011;-1
01/01/2012;-1
01/04/2012;-1
01/07/2012;-1
01/10/2012;-1
01/01/2013;-1
01/04/2013;-1
01/07/2013;-1
01/10/2013;-1
01/01/2014;-1
01/04/2014;-1
01/07/2014;-1
01/10/2014;-1
01/01/2015;-1
01/04/2015;-1
01/07/2015;-1
01/10/2015;-1
01/01/2016;-1
01/04/2016;-1
01/07/2016;-1
01/10/2016;-1
01/01/2017;-1
01/04/2017;-1
01/07/2017;-1
01/10/2017;-1
01/01/2018;-1
01/04/2018;-1
01/07/2018;-1
01/10/2018;-1
01/01/2019;-1
01/04/2019;-1
01/07/2019;-1
01/10/2019;-1
01/01/2020;0
01/04/2020;0
01/07/2020;0
01/10/2020;0
01/01/2021;0
01/04/2021;0
01/07/2021;0
01/10/2021;0
01/01/2022;-1
01/04/2022;-1
01/07/2022;-1
01/10/2022;-1
01/01/2023;-1
01/04/2023;-1
01/07/2023;-1
01/10/2023;-1
01/01/2024;-1
01/04/2024;-1
01/07/2024;-1
01/10/2024;-1
