"";"FATEXP_10";"FATEXP_11";"FATEXP_13";"FATEXP_14";"FATEXP_15";"FATEXP_16";"FATEXP_17";"FATEXP_18";"FATEXP_19";"FATEXP_20";"FATEXP_21";"FATEXP_22";"FATEXP_23";"FATEXP_24";"FATEXP_25";"FATEXP_26";"FATEXP_27";"FATEXP_28";"FATEXP_29";"FATEXP_31";"FATEXP_32";"FATEXP_33";"FATEXP_C";"C_DEFL";"DIVIZ08";"DIVID08";"DIVIE08";"DIVIZ10";"DIVID10";"DIVIE10";"DIVIZ11";"DIVID11";"DIVIE11";"DIVIZ13";"DIVID13";"DIVIE13";"DIVIZ14";"DIVID14";"DIVIE14";"DIVIZ15";"DIVID15";"DIVIE15";"DIVIZ16";"DIVID16";"DIVIE16";"DIVIZ17";"DIVID17";"DIVIE17";"DIVIZ18";"DIVID18";"DIVIE18";"DIVID19";"DIVIZ20";"DIVID20";"DIVIE20";"DIVIZ21";"DIVID21";"DIVIE21";"DIVIZ22";"DIVID22";"DIVIE22";"DIVIZ23";"DIVID23";"DIVIE23";"DIVIZ24";"DIVID24";"DIVIE24";"DIVIZ25";"DIVID25";"DIVIE25";"DIVIZ26";"DIVID26";"DIVIE26";"DIVIZ27";"DIVID27";"DIVIE27";"DIVIZ28";"DIVID28";"DIVIE28";"DIVIZ29";"DIVID29";"DIVIE29";"DIVIZ30";"DIVIZ31";"DIVID31";"DIVIE31";"DIVIZ32";"DIVID32";"DIVIE32";"DIVIZ33";"DIVID33";"MIGSZ_1";"NONDUNAZ";"NONDUEST";"ENERGNAZ";"ENERGEST";"MIGSZ_2";"DUREVNAZ";"DUREVEST";"MIGSZ_3";"INVESNAZ";"INVESEST";"MIGSZ_4";"INTERNAZ";"INTEREST"
"2000q1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;87,1380222;64,467287;82,1504727;30,1515196;NA;144,448426;88,774032;NA;114,641826;53,4832438;NA;106,746001;65,0737104
"2000q2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;87,9361353;65,7861355;87,448839;48,0858808;NA;151,4713;93,8140044;NA;121,833598;62,3093894;NA;108,53616;67,185554
"2000q3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;87,7534312;64,5986411;85,8202356;41,6827442;NA;147,416072;93,435849;NA;116,233956;56,3800713;NA;109,012349;68,4009828
"2000q4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;89,6039875;65,483829;79,0723596;37,5901889;NA;152,817333;95,0224007;NA;119,216175;60,1303737;NA;110,582881;70,2877412
"2000q5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;88,562306;67,8298655;82,3828633;54,5032355;NA;150,770955;96,0734614;NA;119,337422;58,3543258;NA;111,793359;72,4832486
"2000q6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;88,1657486;63,9529704;81,8965163;45,0866872;NA;149,071174;91,887803;NA;115,332819;53,4378366;NA;110,408317;70,4376955
"2000q7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;90,5225124;67,4705688;83,9487196;38,7730351;NA;153,05418;93,9638719;NA;119,00596;64,2235158;NA;113,746375;72,167256
"2000q8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;89,8798902;65,9914519;84,7269815;46,3720681;NA;155,332915;92,8525928;NA;113,867543;64,1303955;NA;116,351038;74,5020008
"2000q9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;91,1316827;67,4443491;93,0733053;62,7140298;NA;152,02057;108,992349;NA;112,921066;61,2431518;NA;113,468655;74,3958758
"2000q10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;93,4170832;67,0158657;91,3527753;67,0125637;NA;149,075808;100,897886;NA;113,050227;61,2618192;NA;114,106251;73,2961533
"2000q11";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;92,2279107;67,70985;98,0096783;62,3328455;NA;146,248646;101,519276;NA;113,567557;61,7006952;NA;114,695414;76,598863
"2000q12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;95,6947979;69,6380535;98,4294456;51,0038568;NA;148,819969;105,266393;NA;114,401074;63,4278747;NA;119,546997;84,1093103
"2001q1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;90,686538;66,3010092;85,9548932;56,3457741;NA;154,409829;95,6271509;NA;120,703298;62,1048752;NA;114,512289;73,0957705
