  *** Seats Revision: 942  Build: 2017/09/25 09:48:03                                                            ***
 "vatasa"
  DATE               Series          TrendCycle       SAser (rec *)   Calendar Adjusted        Seasonal (*)           Irregular           Preadjust             E-Resid      Sep. REG Comp.     REG Comp. in SA    Stoch TrendCycle     Stoch. SASeries
 1-2000          1030834.00          2308542.00          2306544.60          1030834.00          44.6917003          99.9134776          100.000007         0.953969092E-03      100.000000          100.000000          2308542.00          2306544.60    
 2-2000          1309976.00          2324094.09          2258702.10          1309976.00          57.9968470          97.1863448          100.000007        -0.210043274E-01      100.000000          100.000000          2324094.09          2258702.10    
 3-2000          1930967.00          2341666.42          2374648.67          2038256.46          81.3159026          101.408495          94.7362205         0.296183724E-01      100.000000          100.000000          2341666.42          2374648.67    
 4-2000          2739077.00          2358552.45          2366557.37          2594897.83          115.740993          100.339400          105.556263         0.959426522E-02      100.000000          100.000000          2358552.45          2366557.38    
 5-2000          3120801.00          2376298.64          2353422.19          3211341.56          132.606933          99.0372761          97.1806067        -0.284803320E-02      100.000000          100.000000          2376298.64          2353421.44    
 6-2000          3326516.00          2393381.77          2394563.31          3232734.38          138.919526          100.049208          102.901007         0.106947763E-01      100.000000          100.000000          2393381.77          2394559.50    
 7-2000          3362952.00          2409604.17          2416093.83          3362952.00          139.189627          100.269325          100.000007         0.106284827E-01      100.000000          100.000000          2409604.17          2416093.83    
 8-2000          2899364.00          2424612.88          2411337.12          2899364.00          120.238849          99.4524584          100.000007         0.123569985E-02      100.000000          100.000000          2424612.88          2411337.12    
 9-2000          3703220.00          2437939.22          2492038.23          3703220.00          148.602054          102.219047          100.000007         0.265252016E-01      100.000000          100.000000          2437939.22          2492038.23    
10-2000          2865728.00          2449065.16          2415880.89          2865728.00          118.620418          98.6450229          100.000007        -0.156415023E-01      100.000000          100.000000          2449065.16          2415880.89    
11-2000          1405590.00          2457319.87          2475733.10          1405590.00          56.7746985          100.749321          100.000007         0.105048525E-01      100.000000          100.000000          2457319.87          2475733.10    
