  *** Tramo Revision: 942  Build: 2017/09/25 09:39:13                                                           ***
"VATASA"
  DATE            Xorig                Xint                Xlin           RESIDUALS                Mean                  TD                  EE                  TO                  LS     Reg 1 (REFF = 6)
 1-2000      1030834.00          1030834.00          1030834.00          0.00000000          100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 2-2000      1309976.00          1309976.00          1309976.00          0.00000000          100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 3-2000      1930967.00          1930967.00          2038256.46          0.00000000          100.000000          100.000000          94.7362139          100.000000          100.000000          100.000000    
 4-2000      2739077.00          2739077.00          2594897.85          0.00000000          100.000000          100.000000          105.556256          100.000000          100.000000          100.000000    
 5-2000      3120801.00          3120801.00          3211340.55          0.00000000          100.000000          100.000000          100.000000          100.000000          100.000000          97.1806308    
 6-2000      3326516.00          3326516.00          3232729.23          0.00000000          100.000000          100.000000          100.000000          100.000000          100.000000          102.901164    
 7-2000      3362952.00          3362952.00          3362952.00          0.00000000          100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 8-2000      2899364.00          2899364.00          2899364.00          0.00000000          100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 9-2000      3703220.00          3703220.00          3703220.00          0.00000000          100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
10-2000      2865728.00          2865728.00          2865728.00          0.00000000          100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
11-2000      1405590.00          1405590.00          1405590.00          0.00000000          100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
12-2000      1102235.00          1102235.00          1102235.00          0.00000000          100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 1-2001      1104101.00          1104101.00          1104101.00          0.00000000          100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 2-2001      1488787.00          1488787.00          1488787.00          0.00000000          100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 3-2001      1957934.00          1957934.00          2066721.82          0.00000000          100.000000          100.000000          94.7362139          100.000000          100.000000          100.000000    
 4-2001      2885362.00          2885362.00          2733482.72          0.00000000          100.000000          100.000000          105.556256          100.000000          100.000000          100.000000    
 5-2001      3294129.00          3294129.00          3389697.07          0.00000000          100.000000          100.000000          100.000000          100.000000          100.000000          97.1806308    
 6-2001      3521429.00          3521429.00          3422146.92          0.00000000          100.000000          100.000000          100.000000          100.000000          100.000000          102.901164    
 7-2001      3481603.00          3481603.00          3481603.00          0.00000000          100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 8-2001      2995425.00          2995425.00          2995425.00          0.00000000          100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 9-2001      3551792.00          3551792.00          3551792.00          0.00000000          100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
10-2001      2613300.00          2613300.00          2979038.82          0.00000000          100.000000          100.000000          100.000000          87.7229254          100.000000          100.000000    
11-2001      1268881.00          1268881.00          1390726.47          0.00000000          100.000000          100.000000          100.000000          91.2387180          100.000000          100.000000    
12-2001      975320.000          975320.000          1039972.15          0.00000000          100.000000          100.000000          100.000000          93.7832809          100.000000          100.000000    
 1-2002      1054156.00          1054156.00          1102597.72          0.00000000          100.000000          100.000000          100.000000          95.6065827          100.000000          100.000000    
 2-2002      1461869.00          1461869.00          1508575.32          0.00000000          100.000000          100.000000          100.000000          96.9039448          100.000000          100.000000    
 3-2002      2226407.00          2226407.00          2156162.87          0.00000000          100.000000          100.000000          105.556256          97.8225590          100.000000          100.000000    
 4-2002      2539053.00          2539053.00          2721751.23          0.00000000          100.000000          100.000000          94.7362139          98.4707654          100.000000          100.000000    
 5-2002      3587043.00          3587043.00          3557477.00          0.00000000          100.000000          100.000000          100.000000          98.9270639          100.000000          101.924681    
 6-2002      3147895.00          3147895.00          3232801.33          0.00000000          100.000000          100.000000          100.000000          99.2477303          100.000000          98.1116630    
 7-2002      3295844.00          3295844.00          3313311.28          0.00000000          100.000000          100.000000          100.000000          99.4728151          100.000000          100.000000    
 8-2002      2970179.00          2970179.00          2981189.19          0.00000000          100.000000          100.000000          100.000000          99.6306781          100.000000          100.000000    
 9-2002      3588612.00          3588612.00          3597918.69          0.00000000          100.000000          100.000000          100.000000          99.7413312          100.000000          100.000000    
10-2002      2977343.00          2977343.00          2982745.90          0.00000000          100.000000          100.000000          100.000000          99.8188615          100.000000          100.000000    
11-2002      1368344.00          1368344.00          1370081.69          0.00000000          100.000000          100.000000          100.000000          99.8731686          100.000000          100.000000    
12-2002      1123082.00          1123082.00          1124080.17          0.00000000          100.000000          100.000000          100.000000          99.9112011          100.000000          100.000000    
 1-2003      1131003.00          1131003.00          1131706.55          0.00000000          100.000000          100.000000          100.000000          99.9378325          100.000000          100.000000    
 2-2003      1475523.00          1475523.00          1476165.45          0.00000000          100.000000          100.000000          100.000000          99.9564787          100.000000          100.000000    
 3-2003      1932791.00          1932791.00          2040803.58          0.00000000          100.000000          100.000000          94.7362139          99.9695331          100.000000          100.000000    
 4-2003      2612315.00          2612315.00          2475336.26          0.00000000          100.000000          100.000000          105.556256          99.9786722          100.000000          100.000000    
 5-2003      3091874.00          3091874.00          3182049.40          0.00000000          100.000000          100.000000          100.000000          99.9850701          100.000000          97.1806308    
 6-2003      3114804.00          3114804.00          3027302.57          0.00000000          100.000000          100.000000          100.000000          99.9895488          100.000000          102.901164    
 7-2003      3170034.00          3170034.00          3170265.94          0.00000000          100.000000          100.000000          100.000000          99.9926840          100.000000          100.000000    
 8-2003      2837936.00          2837936.00          2838081.34          0.00000000          100.000000          100.000000          100.000000          99.9948788          100.000000          100.000000    
 9-2003      3344271.00          3344271.00          3344390.89        -0.164556590E-01      100.000000          100.000000          100.000000          99.9964151          100.000000          100.000000    
10-2003      2909422.00          2909422.00          2909495.01         0.449271832E-01      100.000000          100.000000          100.000000          99.9974906          100.000000          100.000000    
11-2003      1358885.00          1358885.00          1358908.87         0.283005311E-01      100.000000          100.000000          100.000000          99.9982434          100.000000          100.000000    
12-2003      1195503.00          1195503.00          1195517.70         0.112786198          100.000000          100.000000          100.000000          99.9987704          100.000000          100.000000    
 1-2004      1236818.00          1236818.00          1236828.65         0.738998143E-01      100.000000          100.000000          100.000000          99.9991393          100.000000          100.000000    
 2-2004      1624799.00          1624799.00          1624808.79         0.325994526E-01      100.000000          100.000000          100.000000          99.9993975          100.000000          100.000000    
 3-2004      2046689.00          2046689.00          2160417.38        -0.354184563E-01      100.000000          100.000000          94.7362139          99.9995782          100.000000          100.000000    
 4-2004      2804477.00          2804477.00          2656863.17        -0.242198687E-01      100.000000          100.000000          105.556256          99.9997048          100.000000          100.000000    
 5-2004      3455681.00          3455681.00          3555943.31         0.287311249E-01      100.000000          100.000000          100.000000          99.9997933          100.000000          97.1806308    
 6-2004      3201053.00          3201053.00          3110808.00        -0.660110939E-01      100.000000          100.000000          100.000000          99.9998553          100.000000          102.901164    
