"";"VATASA";"VATASC";"VATAIA";"VATPIA";"VATPIC";"VATPSC";"VATAIC";"VATPSA"
"2000q1";2306544,6;492852,4;3093168,31;11307218,4;5033609;3432091,26;552355,181;7891615,47
"2000q2";2258702,1;485744,449;3100622,18;11279314,4;5081137,01;3411132,54;555653,842;7583943,44
"2000q3";2374648,67;498780,72;3120671,85;11396874,7;5107645,84;3472962,21;559454,585;7921263,39
"2000q4";2366557,37;511281,747;3127364,72;11303485,8;5062771,31;3515374,17;561488,511;7871240,48
"2000q5";2353422,19;494609,022;3139553,49;11331658,7;5134924,5;3435765,7;567557,045;7833440,37
"2000q6";2394563,31;503700,804;3133872,63;11230501,5;5142219,05;3559828,87;566601,459;8122927,91
"2000q7";2416093,83;514682,226;3152783,13;11315794,7;5233722,77;3558690,06;576762,523;7998497,32
"2000q8";2411337,12;519247,492;3158837,95;11349036,9;5254182,32;3607200,78;576679,344;8076262,24
"2000q9";2492038,23;518222,863;3171750,45;11509403,7;5308575,41;3632527,54;582570,238;8331607,22
"2000q10";2415880,89;513238,434;3165177,29;11295903,1;5210741,97;3602185,78;577938,167;8300940,34
"2000q11";2475733,1;520654,503;3170986,82;11268767,4;5248506,53;3597168,23;579351,817;8600864,67
"2000q12";2491604,24;527793,305;3202787,43;11516628;5283381,85;3677441,6;588765,801;8502035,29
"2001q1";2448431,93;521142,666;3232092,6;11812810,8;5428758,09;3728725,12;595991,097;8550199,89
"2001q2";2499484,06;531890,106;3230073,45;11605871,1;5357995,7;3778582,05;594323,943;8745765,06
"2001q3";2419633,57;519169,703;3215576,15;11502943,2;5376006,53;3662098,89;592907,796;8243068,93
"2001q4";2499642,21;532479,681;3228210,81;11608155,9;5446243,81;3764122,57;604407,402;8503502,09
"2001q5";2464343,91;545488,101;3225009,25;11447162,1;5443192,3;3949617,99;607230,726;8384887,65
"2001q6";2550240,81;555575,425;3253058,46;11643181,6;5495018,41;3876141,77;620264,811;8462627,35
"2001q7";2519775,9;551309,694;3235568,34;11464047,8;5458108,14;3905777,47;614171,035;8493356,54
"2001q8";2491941,44;539339,351;3235070,12;11636627,2;5547862,34;3866349,11;621100,834;8437975,82
"2001q9";2435219,27;546225,679;3226115,04;11506859,4;5457683,99;3866504,81;617888,923;8246056,57
"2001q10";2188268,9;527520,262;3231624,05;11551168,8;5508210,88;3817530,85;622297,935;7914881,51
"2001q11";2249974,74;530919,313;3226770,91;11595130,5;5440769,08;3801926,49;621107,872;8214696,58
"2001q12";2207873,75;513545,398;3204812,38;11640076,7;5491801,68;3741479,14;620929,809;7924403,35
"2002q1";2323287,85;524753,201;3148039,07;10826055,7;5374384,91;3875980,11;610830,377;7660363,5
"2002q2";2414513,64;537060,354;3161532,31;11153973,8;5485371,32;3927102,73;623347,685;7930106,89
"2002q3";2459805,9;681978,592;3171330,69;11143196,3;5497667,88;3976240,3;634815,665;8122299,34
"2002q4";2475528,66;615030,662;3152322,23;11128233,4;5492916,15;3899970,51;623384,553;8269770,07
